Name,Description
John Roberts,"The Chief Justice, now in his thirteenth year on the bench, has helmed what many consider the most conservative SCOTUS in generations.The conservative wing on the Supreme Court was reinforced by President Trump's decision to nominate Neil Gorsuch who was confirmed in April 2017. Under Roberts' watch, the justices invalidated key portions of the Voting Rights Act and lifted cap on corporate spending in the Citizens United case.Having earned both his undergraduate and law degree from Harvard, Roberts was nominated to the Supreme Court by George W. Bush."
Enrique Pena Nieto,"The Mexican president is deeply unpopular in his country of 120 million people slated to have an election in July 2018. The Mexican constitution allows for a citizen to hold the highest position only once. Pena Nieto won the office in 2012 on a vow to end drug wars and revitalize the economy.Despite those promises, his administration remains mired in scandals over corruption, continued violence and weak economic growth. Prior to becoming President he was Governor of the Province of Mexico."
Ken Griffin,"Ken Griffin founded and runs Citadel, a Miami-based hedge fund firm that manages $63 billion in assets.Griffin founded Citadel in 1990 but first began trading from his Harvard dorm in 1987. He put a satellite dish on the roof to get real-time stock quotes.Citadel Securities, one of Wall Street's biggest market-making firms, is responsible for one of every four stock trades in the U.S.Griffin has given some $2.3 billion to philanthropic causes, including $300 million to Harvard's Faculty of Arts and Sciences in 2023; the graduate school of arts and sciences bears his name.In January 2024, Griffin said he would pause his support for Harvard, citing its handling of antisemitic incidents on campus."
Aliko Dangote,"Aliko Dangote, Africa's richest person, founded and chairs Dangote Cement, the continent's largest cement producer.He owns 85% of publicly-traded Dangote Cement through a holding company.Dangote Cement has the capacity to produce 48.6 million metric tons annually and has operations in 10 countries across Africa.After many years in development, Dangote's fertilizer plant in Nigeria began operations in March 2022.Dangote Refinery, which began construction in 2016, began its refining operations in early 2024."
Mike Pence,"The former Indiana governor, and a darling of conservative evangelicals, has kept a relatively low profile as a vice president of the United States. A U.S. president is not allowed to fire his Vice President, which gives Pence a degree of autonomy. In a currently often divided Congress he is called to break ties much more often than any Vice President in recent history.Among the more notable votes were approving Betsy DeVos as Education Secretary and the plan to allow states to block funding for Planned Parenthood.Pence is known for his conservative stance on social issues, particularly regarding his opposition of same-sex marriage and abortion."
Qamar Javed Bajwa,"Although the president is his boss on paper, Pakistan's chief of army staff is de facto the most powerful person in the nuclear armed state.Javed Bajwa joins the world's most powerful at a time when the rift between India and Pakistan is improving, partly thanks to his efforts.He has a difficult task of keeping peace in the U.S. ally state where terrorist groups are present, while managing a complex relationship with India.Two years into his tenure as the head of the world's sixth largest Army, Bajwa has established himself as a mediator and proponent of democracy."
Rodrigo Duterte,"Duterte was elected president of the Philippines in 2016 on the strength of a campaign that promised execution of drug dealers and other criminals. So far his war on crime has already resulted in the killing of thousands of people across the archipelago country.Duterte's raw and vulgar vocabulary keeps him in the headlines: he called Obama ""son of a whore"" and has used homophobic slurs to describe opponents."
Abigail Johnson,"Abigail Johnson has served as CEO of Fidelity Investments since 2014, when she took over for her father, and has been chairman since 2016.Her grandfather, Edward Johnson II, founded the Boston-based mutual fund giant in 1946.She owns an estimated 28.5% stake of the firm, which as of June 2024 manages discretionary assets totaling $5.5 trillion.Johnson has embraced cryptocurrencies and, in 2018, Fidelity launched a platform that allows institutional investors to custody and trade bitcoin, ether and litecoin.She worked summers at Fidelity through college and joined full-time as an analyst in 1988 after receiving a Harvard M.B.A."
Reed Hastings,"Reed Hastings, cofounder and executive chairman of Netflix, revolutionized how the world is entertained.Hastings stepped down as co-CEO in 2023 and has been reducing his shareholding; he now owns less than 1% of Netflix shares.He cofounded Netflix in 1997, the same year he sold his first company, Pure Software. He took Netflix public in 2002.Netflix originally operated as a DVD-by-mail subscription service, but began streaming content in 2007.In 2020, he and his wife Patty donated $120 million to two historically Black colleges and the United Negro College Fund. Their lifetime giving surpasses $2 billion."
Robert Mueller,"As head of the investigation of Russian interference in the 2016 U.S. elections, his findings could make or break the Trump administration.Mueller has indicted several of the President?s associates, and reportedly provided the tip that led to a raid on the President?s personal lawyer.Formerly served as Director of the Federal Bureau of Investigation from 2001 to 2013, the longest-serving director since J. Edgar Hoover.Mueller served in the Marine Corps during the Vietnam War and received the Bronze Star Medal with Combat ""V"" for heroism."
Abu Bakr al-Baghdadi,"The self-declared caliph of the Islamic State leads a global terrorist network seeking to establish a radical Islamic empire in Iraq and the Levant.He commandeered the planet's attention with a series of barbaric beheadings and earned copious amounts of cash, largely through black-market oil sale.Recently, his power has been shrinking as Syrian, Turkish and Iraqi forces, with the help from Russia and the U.S. have doubled down on ISIS. Sophisticated propaganda efforts have also helped ISIS mint new extremists capable of carrying out terror attacks throughout the Western world.The United States currently has a $25 million bounty for information that would lead to him."
Jokowi Widodo,"The leader of the fourth most populated country makes his debut on the list as he prepares to run for another term for Indonesia's highest office.Widodo, popularly called Jokowi, has vowed to minimize bureaucracy and boost domestic and foreign investments in Southeast Asia's largest economy. In January 2018 a teen was sentenced to 18 months in prison for insulting him on Facebook. The sentence drew criticism by human rights groups.Prior to becoming President, Widodo was mayor of his hometown Surakarta, and later Governor of Indonesia's capital, Jakarta. Jokowi remains very popular in his country of 260 million, with recent polls showing his approval ratings at 60%."
Gianni Infantino,"The most powerful man in sports makes his first appearance on the list on the same year the location of the 2026 World Cup is decided.A big proponent of Video Assistant Referee (VAR), Infantino successfully push for the feature to be present for the first time at the 2018 World Cup. Infantino took the helm at FIFA in February 2016, a few months after his predecessor, Sepp Blatter resigned after a 17 year scandal-ridden reign. Prior to his election as FIFA's chief, he was director of legal affairs and general secretary at the Union of European Football Associations (UEFA)."
